Electronics International Inc.
MVP-50T  Flight Data Recording
Aircraft ID: N746LG   
Hardware ID: 1.3.1
Software Version: 2.7
SW Tracking ID #: 502
Unit ID: 1712329445
Engine Data Converter Model: EDC-T-1-F  
Flight Number: 1167
Local Time: 10/08/21 15:32:38
Date Format: mm/dd/yy
ZULU Time: 22:32:40
Engine Hours: 1099.52 Hours
Cycle Count: 489 Cycles
Data Logging Interval:   1 sec
TIME,MSTR_WRN,N1;%,N2;RPM,F.FLOW;GPH,FUEL R;GAL,FUEL L;GAL,VOLTS;V,AMPS;A,TORQ;%,FUEL P;PSI,OIL P;PSI,PR ALT;FT,VSI;FT,AIRSPD;KTS,TAS;,ITT;*C,OIL T;*C,OAT;*F,HP;%,F.REM;GAL,FLT TM;MIN,ENG HRS:HRS,CYCLES; ,GPS-UTC,GPS-WAYPT,GPS-LAT,GPS-LONG,GPS-SPEED;KTS,GPS-ALT;F,GPS-TRACK;DEG,GPS-QLTY,GPS-NumSat,AUXIN1,AUXIN2,AUXIN3,
15:32:33,1,0.0,0,0.0,38.0,4.0,25.3,0,0,0.0,0.0,-286,-2,0,0,184,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:34,1,0.0,0,0.0,39.0,4.0,25.3,0,0,0.0,0.0,-286,5,0,0,184,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:35,1,0.0,0,0.0,40.0,4.0,25.3,0,0,0.0,0.0,-286,9,0,0,184,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:36,1,0.0,0,0.0,40.5,4.0,25.3,0,0,0.0,0.0,-285,14,0,0,184,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:37,1,0.0,0,0.0,41.0,4.0,25.3,0,0,0.0,0.0,-285,18,0,0,184,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:38,1,0.0,0,0.0,42.0,4.0,25.3,0,0,0.0,0.0,-285,19,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:39,1,0.0,0,0.0,42.5,4.0,25.3,0,0,0.0,0.0,-286,19,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:40,1,0.0,0,0.0,43.0,4.0,25.3,0,0,0.0,0.0,-285,17,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:41,1,0.0,0,0.0,43.5,4.0,25.3,0,0,0.0,0.0,-284,16,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:43,1,0.0,0,0.0,44.5,4.0,25.3,0,0,0.0,0.0,-280,21,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:44,1,0.0,0,0.0,45.0,4.0,25.2,0,0,0.0,0.0,-284,32,0,0,183,41,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:45,1,0.0,0,0.0,45.5,4.0,25.2,0,0,0.0,0.0,-284,33,0,0,183,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:46,1,0.0,0,0.0,46.5,3.5,25.3,0,0,0.0,0.0,-283,22,0,0,183,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:47,1,0.0,0,0.0,47.0,3.5,25.3,0,0,0.0,0.0,-283,20,0,0,183,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:48,1,0.0,0,0.0,47.5,3.5,25.3,0,0,0.0,0.0,-283,16,0,0,183,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:49,1,0.0,0,0.0,48.0,3.5,25.3,0,0,0.0,0.0,-284,12,0,0,183,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:50,1,0.0,0,0.0,48.5,3.5,25.3,0,0,0.0,0.0,-284,-3,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:51,1,0.0,0,0.0,48.5,3.5,25.3,0,0,0.0,0.0,-284,-13,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:52,1,0.0,0,0.0,49.0,3.0,25.3,0,0,0.0,0.0,-285,-13,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:53,1,0.0,0,0.0,49.5,3.0,25.3,0,0,0.0,0.0,-285,-13,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:54,1,0.0,0,0.0,49.5,3.0,25.3,0,0,0.0,0.0,-281,-9,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:55,1,0.0,0,0.0,50.0,3.0,25.3,0,0,0.0,0.0,-272,42,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:57,1,0.0,0,0.0,50.5,3.0,25.3,0,0,0.0,0.0,-262,162,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:58,1,0.0,0,0.0,51.0,3.0,25.3,0,0,0.0,0.0,-261,275,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:32:59,1,0.0,0,0.0,51.0,3.0,25.4,0,0,0.0,0.0,-262,326,0,0,182,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:00,1,0.0,0,0.0,51.5,3.0,25.4,0,0,0.0,0.0,-262,270,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:01,1,0.0,0,0.0,51.5,3.0,25.4,0,0,0.0,0.0,-262,158,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:02,1,0.0,0,0.0,52.0,3.0,25.4,0,0,1.4,0.0,-258,75,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:03,1,0.0,0,0.0,52.0,3.0,25.4,0,0,0.0,0.0,-259,35,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:04,1,0.0,0,0.0,52.5,3.0,25.4,0,0,0.0,0.0,-260,28,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:05,1,0.0,0,0.0,52.5,3.0,25.4,0,0,0.0,0.0,-260,23,0,0,181,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:06,1,0.0,0,0.0,52.5,3.0,25.4,0,0,0.0,0.0,-260,17,0,0,180,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:07,1,0.0,0,0.0,53.0,3.0,25.4,0,0,0.0,0.0,-260,16,0,0,180,40,36,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:08,1,0.0,0,0.0,53.0,3.0,25.5,0,0,0.0,0.0,-260,17,0,0,180,40,36,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:10,1,0.0,0,0.0,53.5,3.0,25.5,0,0,0.0,0.0,-259,14,0,0,180,40,36,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:11,1,0.0,0,0.0,53.5,3.0,25.5,0,0,0.0,0.0,-259,8,0,0,180,40,36,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:12,1,0.0,0,0.0,54.0,3.0,25.5,0,0,0.0,0.0,-259,2,0,0,180,40,36,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:13,1,0.0,0,0.0,54.0,3.0,25.5,0,0,0.0,0.0,-259,0,0,0,180,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:14,1,0.0,0,0.0,54.0,3.0,25.5,0,0,0.0,0.0,-258,-1,0,0,180,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:15,1,0.0,0,0.0,54.5,3.0,25.5,0,0,0.0,0.0,-258,2,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:16,1,0.0,0,0.0,54.5,3.0,25.5,0,0,0.0,0.0,-259,6,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:17,1,0.0,0,0.0,54.5,3.0,25.5,0,0,0.0,0.0,-259,7,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:18,1,0.0,0,0.0,55.0,3.0,25.5,0,0,0.0,0.0,-259,8,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:19,1,0.0,0,0.0,55.0,3.0,25.5,0,0,0.0,0.0,-259,6,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:20,1,0.0,0,0.0,55.0,3.0,25.5,0,0,0.0,0.0,-259,4,0,0,179,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:21,1,0.0,0,0.0,55.0,3.0,25.5,0,0,0.0,0.0,-259,2,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:22,1,0.0,0,0.0,55.5,3.0,25.5,0,0,0.0,0.0,-251,18,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:24,1,0.0,0,0.0,55.5,3.0,25.4,0,0,0.0,0.0,-259,55,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:25,1,0.0,0,0.0,55.5,3.0,25.4,0,0,0.0,0.0,-259,37,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:26,1,0.0,0,0.0,55.5,3.0,25.5,0,0,0.0,0.0,-259,0,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:27,1,0.0,0,0.0,55.5,3.0,25.5,0,0,0.0,0.0,-259,0,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:28,1,0.0,0,0.0,55.5,3.0,25.5,0,0,0.0,0.0,-259,-12,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:29,1,0.0,0,0.0,56.0,3.0,25.5,0,0,0.0,0.0,-259,-42,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:30,1,0.0,0,0.0,56.0,3.0,25.5,0,0,0.0,0.0,-259,-42,0,0,178,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
15:33:31,1,0.0,0,0.0,56.0,3.0,25.5,0,0,0.0,0.0,-259,-28,0,0,177,40,37,0,22.7,0,1099.52,489,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
