Electronics International Inc.
MVP-50T  Flight Data Recording
Aircraft ID: N746LG   
Hardware ID: 1.3.1
Software Version: 2.7
SW Tracking ID #: 502
Unit ID: 1712329445
Engine Data Converter Model: EDC-T-1-F  
Flight Number: 1182
Local Time: 10/17/21 05:01:31
Date Format: mm/dd/yy
ZULU Time: 12:01:32
Engine Hours: 1112.84 Hours
Cycle Count: 496 Cycles
Data Logging Interval:   1 sec
TIME,MSTR_WRN,N1;%,N2;RPM,F.FLOW;GPH,FUEL R;GAL,FUEL L;GAL,VOLTS;V,AMPS;A,TORQ;%,FUEL P;PSI,OIL P;PSI,PR ALT;FT,VSI;FT,AIRSPD;KTS,TAS;,ITT;*C,OIL T;*C,OAT;*F,HP;%,F.REM;GAL,FLT TM;MIN,ENG HRS:HRS,CYCLES; ,GPS-UTC,GPS-WAYPT,GPS-LAT,GPS-LONG,GPS-SPEED;KTS,GPS-ALT;F,GPS-TRACK;DEG,GPS-QLTY,GPS-NumSat,AUXIN1,AUXIN2,AUXIN3,
05:01:25,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,0,0,0,15,15,64,0,20.8,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:26,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,723,0,0,0,15,15,64,0,20.8,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:27,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,3,0,0,15,15,64,0,20.8,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:28,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,4,0,0,15,15,64,0,20.8,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:30,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,4,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:31,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,4,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:32,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,1,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:33,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,0,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:34,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,0,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
05:01:35,0,0.0,0,0.0,27.5,56.0,24.9,0,0,0.0,0.0,722,0,0,0,15,15,64,0,110.0,0,1112.84,496,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
