Electronics International Inc.
MVP-50T  Flight Data Recording
Aircraft ID: N746LG   
Hardware ID: 1.3.1
Software Version: 2.7
SW Tracking ID #: 502
Unit ID: 1712329445
Engine Data Converter Model: EDC-T-1-F  
Flight Number: 1191
Local Time: 10/21/21 17:45:38
Date Format: mm/dd/yy
ZULU Time: 00:45:40
Engine Hours: 1128.81 Hours
Cycle Count: 502 Cycles
Data Logging Interval:   1 sec
TIME,MSTR_WRN,N1;%,N2;RPM,F.FLOW;GPH,FUEL R;GAL,FUEL L;GAL,VOLTS;V,AMPS;A,TORQ;%,FUEL P;PSI,OIL P;PSI,PR ALT;FT,VSI;FT,AIRSPD;KTS,TAS;,ITT;*C,OIL T;*C,OAT;*F,HP;%,F.REM;GAL,FLT TM;MIN,ENG HRS:HRS,CYCLES; ,GPS-UTC,GPS-WAYPT,GPS-LAT,GPS-LONG,GPS-SPEED;KTS,GPS-ALT;F,GPS-TRACK;DEG,GPS-QLTY,GPS-NumSat,AUXIN1,AUXIN2,AUXIN3,
17:45:33,0,0.0,0,0.0,56.0,56.0,25.4,0,0,0.0,0.0,772,15,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:34,0,0.0,0,0.0,56.0,56.0,25.5,0,0,0.0,0.0,772,16,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:35,0,0.0,0,1.9,56.0,56.0,25.5,0,0,23.0,0.0,772,16,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:36,0,0.0,0,0.4,56.0,56.0,25.5,0,0,34.2,0.0,773,17,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:37,0,0.0,0,0.2,56.0,56.0,25.5,0,0,34.2,0.0,774,20,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:38,0,0.0,0,0.1,56.0,56.0,25.5,0,0,34.2,0.0,774,21,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:39,0,0.0,0,0.0,56.0,56.0,25.4,0,0,34.2,0.0,775,22,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:40,0,0.0,0,0.1,56.0,56.0,25.4,0,0,34.2,0.0,772,21,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:41,0,0.0,0,0.1,56.0,56.0,25.3,0,0,34.2,0.0,772,13,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:43,0,0.0,0,0.1,56.0,56.0,25.2,0,0,34.2,0.0,770,5,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:44,0,0.0,0,0.1,56.0,56.0,25.2,0,0,34.2,0.0,769,-5,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:45,0,21.8,0,2.1,56.0,56.0,22.3,12,0,32.2,0.0,916,151,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:45,1,13.2,0,7.1,56.0,56.0,21.1,19,0,32.8,0.0,978,487,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:46,1,10.1,250,16.1,56.0,56.0,19.4,21,0,32.6,0.6,924,1784,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:46,1,11.0,210,13.0,56.0,56.0,19.8,18,0,32.6,0.8,916,2143,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:47,1,13.2,60,12.5,56.0,56.0,20.1,17,0,32.6,1.0,910,2310,0,0,78,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:47,1,13.2,0,12.5,56.0,56.0,20.2,16,0,32.6,1.2,904,2301,0,0,77,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:48,1,14.3,0,12.5,56.0,56.0,20.5,15,0,32.6,2.3,901,2134,0,0,77,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:48,1,15.1,1050,12.5,56.0,56.0,20.5,14,0,32.8,3.9,896,2016,0,0,76,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:48,1,15.2,470,13.0,56.0,56.0,20.8,13,0,32.8,6.0,895,1925,0,0,76,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:49,1,16.4,320,13.4,56.0,56.0,20.8,12,0,32.8,7.6,886,1863,0,0,137,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:49,1,17.4,150,14.0,56.0,56.0,20.9,11,0,32.8,9.1,881,1615,0,0,242,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:49,1,18.9,90,12.8,56.0,56.0,21.2,10,0,32.8,10.5,871,1210,0,0,346,30,24,0,30.8,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:50,1,20.9,90,11.6,56.0,56.0,21.3,0,0,32.8,12.0,866,652,0,0,411,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:50,1,21.7,90,11.5,56.0,56.0,21.4,0,0,33.0,13.2,859,141,0,0,433,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:50,1,22.9,80,12.1,56.0,56.0,21.7,0,0,33.0,14.8,853,-335,0,0,471,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:51,1,24.5,130,12.4,56.0,56.0,21.8,0,0,33.0,16.5,845,-791,0,0,515,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:51,1,25.9,110,10.8,56.0,56.0,22.1,0,0,33.0,18.5,839,-1046,0,0,537,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:52,1,27.1,140,10.0,56.0,56.0,22.1,0,0,33.0,20.4,836,-1129,0,0,554,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:52,1,28.2,150,9.7,56.0,56.0,22.2,0,0,33.0,22.2,832,-1039,0,0,571,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:52,1,29.7,160,10.3,56.0,56.0,22.5,0,0,33.0,24.2,831,-992,0,0,581,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:53,1,31.0,160,10.4,56.0,56.0,22.5,0,0,33.0,26.0,827,-960,0,0,586,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:53,1,32.3,160,11.5,56.0,56.0,22.6,0,0,33.0,27.4,824,-953,0,0,586,30,24,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:53,1,33.6,210,12.4,56.0,56.0,22.7,0,0,33.0,28.2,821,-932,0,0,586,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:54,1,34.9,210,13.4,56.0,56.0,22.8,0,0,33.0,28.2,820,-907,0,0,586,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:54,1,36.2,220,14.1,56.0,56.0,22.9,0,0,33.0,28.4,817,-867,0,0,579,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:54,1,37.2,230,14.9,56.0,56.0,23.0,0,0,33.0,28.4,816,-821,0,0,573,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:55,1,38.4,230,15.3,56.0,56.0,23.1,0,0,33.0,28.4,815,-770,0,0,572,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:55,1,39.7,240,15.6,56.0,56.0,23.1,0,5,32.8,28.4,812,-701,0,0,568,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
17:45:55,1,41.1,260,15.6,56.0,56.0,23.2,0,5,32.8,28.6,811,-633,0,0,568,30,25,0,30.7,0,1128.81,502,00,N/A,-----,-----,---,----,----,0,0,0,0,0,
